"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Should show error message","webkit","2026-08-12","passed","2026-08-12","test login responses for bookings","api/login.spec.ts","",""
"","2","Should DELETE existing booking from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Delete Booking Record","db/booking/deleteBooking.spec.ts","",""
"","9","Should throw a not found error","firefox","2026-08-12","passed","2026-08-12","test GET responses for bookings","api/getBooking.spec.ts","",""
"","23","Should throw an error if particular booking ID is invalid","webkit","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","2","Should SELECT existing booking with payments only from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","1","Should DELETE not existing booking from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Delete Booking Record","db/booking/deleteBooking.spec.ts","",""
"","2","Should SELECT existing payments and bookings from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","1","Should throws SQLITE_CONSTRAINT while inserting invalid booking to the local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Insert Booking Record","db/booking/insertBooking.spec.ts","",""
"","89","Should delete particular booking ID","webkit","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","16","Should create new booking correctly","firefox","2026-08-12","passed","2026-08-12","test POST responses for bookings","api/postBooking.spec.ts","",""
"","16","Should create new booking correctly","webkit","2026-08-12","passed","2026-08-12","test POST responses for bookings","api/postBooking.spec.ts","",""
"","2","Should SELECT existing bookings and payments from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","15","Should SELECT non-existing booking from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/getBooking.spec.ts","",""
"","2","Should SELECT existing bookings and payments from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","10","Should show error message","chromium","2026-08-12","passed","2026-08-12","test login responses for bookings","api/login.spec.ts","",""
"","5","Should insert valid booking to the local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Insert Booking Record","db/booking/insertBooking.spec.ts","",""
"","1","Should UPDATE not existing booking from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/updateBooking.spec.ts","",""
"","60","Should create a booking via API and store a copy in local SQLite","webkit","2026-08-12","passed","2026-08-12","API + SQLite Tests","api_sqlite_booking.spec.ts","",""
"","2","Should SELECT existing booking with payments only from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","33","Should update particular booking ID","chromium","2026-08-12","passed","2026-08-12","test PUT responses for bookings","api/updateBooking.spec.ts","",""
"","1","Should SELECT non-existing booking from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/getBooking.spec.ts","",""
"","11","Should get token correctly","firefox","2026-08-12","passed","2026-08-12","test login responses for bookings","api/login.spec.ts","",""
"","5","Should insert valid booking to the local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Insert Booking Record","db/booking/insertBooking.spec.ts","",""
"","1","Should throws SQLITE_CONSTRAINT while inserting invalid booking to the local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Insert Booking Record","db/booking/insertBooking.spec.ts","",""
"","17","Should get all booking ids","firefox","2026-08-12","passed","2026-08-12","test GET responses","api/getBookingIds.spec.ts","",""
"","3","Should SELECT existing payment from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/payment/getPayment.spec.ts","",""
"","15","Should SELECT existing booking from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/getBooking.spec.ts","",""
"","10","Should get particular booking ID","firefox","2026-08-12","passed","2026-08-12","test GET responses for bookings","api/getBooking.spec.ts","",""
"","1","Should SELECT non-existing booking from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/getBooking.spec.ts","",""
"","7","Should DELETE not existing booking from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Delete Booking Record","db/booking/deleteBooking.spec.ts","",""
"","6","Should insert valid booking to the local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Insert Booking Record","db/booking/insertBooking.spec.ts","",""
"","18","Should get all booking ids","chromium","2026-08-12","passed","2026-08-12","test GET responses","api/getBookingIds.spec.ts","",""
"","82","Should create a booking via API and store a copy in local SQLite","chromium","2026-08-12","passed","2026-08-12","API + SQLite Tests","api_sqlite_booking.spec.ts","",""
"","19","Should throw an error if user is not authorized","chromium","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","60","Should create a booking via API and store a copy in local SQLite","firefox","2026-08-12","passed","2026-08-12","API + SQLite Tests","api_sqlite_booking.spec.ts","",""
"","32","Should update particular booking ID","webkit","2026-08-12","passed","2026-08-12","test PUT responses for bookings","api/updateBooking.spec.ts","",""
"","15","Should SELECT existing booking from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/getBooking.spec.ts","",""
"","5","Should UPDATE existing booking from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/updateBooking.spec.ts","",""
"","1","Should UPDATE not existing booking from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/updateBooking.spec.ts","",""
"","86","Should delete particular booking ID","firefox","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","11","Should get particular booking ID","chromium","2026-08-12","passed","2026-08-12","test GET responses for bookings","api/getBooking.spec.ts","",""
"","5","Should UPDATE existing booking from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/updateBooking.spec.ts","",""
"","11","Should get token correctly","webkit","2026-08-12","passed","2026-08-12","test login responses for bookings","api/login.spec.ts","",""
"","2","Should SELECT existing bookings and payments from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","2","Should DELETE existing booking from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Delete Booking Record","db/booking/deleteBooking.spec.ts","",""
"","11","Should get particular booking ID","webkit","2026-08-12","passed","2026-08-12","test GET responses for bookings","api/getBooking.spec.ts","",""
"","3","Should SELECT existing payment from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/payment/getPayment.spec.ts","",""
"","1","Should DELETE not existing booking from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Delete Booking Record","db/booking/deleteBooking.spec.ts","",""
"","2","Should SELECT existing payments and bookings from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","2","Should SELECT existing booking with payments only from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","12","Should get token correctly","chromium","2026-08-12","passed","2026-08-12","test login responses for bookings","api/login.spec.ts","",""
"","56","authentication","setup","2026-08-12","passed","2026-08-12","","auth/auth.setup.ts","",""
"","94","Should delete particular booking ID","chromium","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","16","Should SELECT existing booking from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/getBooking.spec.ts","",""
"","18","Should create new booking correctly","chromium","2026-08-12","passed","2026-08-12","test POST responses for bookings","api/postBooking.spec.ts","",""
"","33","Should update particular booking ID","firefox","2026-08-12","passed","2026-08-12","test PUT responses for bookings","api/updateBooking.spec.ts","",""
"","17","Should throw an error if user is not authorized","firefox","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","10","Should show error message","firefox","2026-08-12","passed","2026-08-12","test login responses for bookings","api/login.spec.ts","",""
"","1","Should throws SQLITE_CONSTRAINT while inserting invalid booking to the local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Insert Booking Record","db/booking/insertBooking.spec.ts","",""
"","10","Should throw a not found error","chromium","2026-08-12","passed","2026-08-12","test GET responses for bookings","api/getBooking.spec.ts","",""
"","17","Should throw an error if particular booking ID is invalid","firefox","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","10","Should throw a not found error","webkit","2026-08-12","passed","2026-08-12","test GET responses for bookings","api/getBooking.spec.ts","",""
"","17","Should throw an error if user is not authorized","webkit","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","2","Should SELECT existing payments and bookings from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Records with Payments","db/booking/getBookingsWithPayments.spec.ts","",""
"","1","Should UPDATE not existing booking from local SQLite","firefox","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/updateBooking.spec.ts","",""
"","2","Should DELETE existing booking from local SQLite","webkit","2026-08-12","passed","2026-08-12","Test Delete Booking Record","db/booking/deleteBooking.spec.ts","",""
"","20","Should throw an error if particular booking ID is invalid","chromium","2026-08-12","passed","2026-08-12","test DELETE responses for bookings","api/deleteBooking.spec.ts","",""
"","4","Should UPDATE existing booking from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/booking/updateBooking.spec.ts","",""
"","3","Should SELECT existing payment from local SQLite","chromium","2026-08-12","passed","2026-08-12","Test Select Booking Record","db/payment/getPayment.spec.ts","",""
"","16","Should get all booking ids","webkit","2026-08-12","passed","2026-08-12","test GET responses","api/getBookingIds.spec.ts","",""
